업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적(건물내_외부),업태명,담당부서
휴게음식점,2017-11-08,GS대방성남점,"서울특별시 동작구 대방동23길 18, 1층 (대방동)",서울특별시 동작구 대방동 376-28 ,3.3,일반조리판매,보건행정과
휴게음식점,2017-11-13,GS25상도초교편의점,"서울특별시 동작구 성대로29길 79, 지하1층 (상도동)",서울특별시 동작구 상도동 238 대광빌딩 ,3.3,일반조리판매,보건행정과
휴게음식점,2017-11-13,영도순대,"서울특별시 동작구 장승배기로10길 26, 1층 (상도동, 영도시장)",서울특별시 동작구 상도동 176-1 영도시장 ,13.2,일반조리판매,보건행정과
휴게음식점,2017-11-17,GS25신이수자이점,"서울특별시 동작구 사당로28길 6, 1층 (사당동)",서울특별시 동작구 사당동 1003-40 ,3.3,일반조리판매,보건행정과
휴게음식점,2017-11-28,씨유사당서달산점,"서울특별시 동작구 사당로23길 215, 1층 (사당동)",서울특별시 동작구 사당동 175-5 ,3.3,일반조리판매,보건행정과
휴게음식점,2017-12-12,김종구부산어묵,"서울특별시 동작구 노량진로 157-1, 1층 (노량진동)",서울특별시 동작구 노량진동 67-8 굿베이커리 ,18,일반조리판매,보건행정과
휴게음식점,2017-12-13,세븐일레븐 동작대방역점,"서울특별시 동작구 노량진로 22, 경방빌딩 1층 (대방동)",서울특별시 동작구 대방동 339-15 경방빌딩 ,3.3,일반조리판매,보건행정과
휴게음식점,2017-12-21,GS25노량진수산시장점,"서울특별시 동작구 노들로 674, 노량진수산물도매시장 2층 편의점호 (노량진동)",서울특별시 동작구 노량진동 13-6 노량진수산물도매시장 ,3.3,일반조리판매,보건행정과
휴게음식점,2018-01-04,김가네김밥,"서울특별시 동작구 사당로 12, 지하1층 B02호 (상도동)",서울특별시 동작구 상도동 502-8 ,61.94,일반조리판매,보건행정과
휴게음식점,2018-01-16,이마트24사당교보점,"서울특별시 동작구 동작대로13길 3, JH빌딩 1층 (사당동)",서울특별시 동작구 사당동 1019-30 JH빌딩 ,3.3,일반조리판매,보건행정과
휴게음식점,2018-01-19,몬스터PC방 2호점,"서울특별시 동작구 흑석로 111, 지하1층 (흑석동)",서울특별시 동작구 흑석동 181-11 ,6,일반조리판매,보건행정과
휴게음식점,2018-01-19,몬스터PC방 1호점,"서울특별시 동작구 흑석로 105, 3층 (흑석동)",서울특별시 동작구 흑석동 183-5 ,6.6,일반조리판매,보건행정과
휴게음식점,2018-02-07,CU중대동양점,"서울특별시 동작구 흑석로9길 7, 1층 (흑석동)",서울특별시 동작구 흑석동 190-35 ,3.3,일반조리판매,보건행정과
휴게음식점,2018-02-19,놀숲노량진점,"서울특별시 동작구 노량진로 176, 지하1층 (노량진동)",서울특별시 동작구 노량진동 148-89 ,41.17,일반조리판매,보건행정과
휴게음식점,2018-02-20,씨유중대청룡점,"서울특별시 동작구 흑석로6길 23, 1층 (흑석동)",서울특별시 동작구 흑석동 207-26 ,6.6,일반조리판매,보건행정과
휴게음식점,2018-02-27,GS25사당래미안,"서울특별시 동작구 사당로23길 181, 1층 (사당동)",서울특별시 동작구 사당동 175-25 ,6.6,일반조리판매,보건행정과
휴게음식점,2018-03-02,GS25노량진본점,"서울특별시 동작구 노량진로8길 40, 1층 (노량진동)",서울특별시 동작구 노량진동 258-42 ,3.3,일반조리판매,보건행정과
휴게음식점,2018-03-15,씨유상도래미안점,"서울특별시 동작구 상도로53길 47, 1층 (상도1동)",서울특별시 동작구 상도1동 318-3 동인할인마트 ,6.6,일반조리판매,보건행정과
휴게음식점,2018-06-01,이마트24사당역점,"서울특별시 동작구 남부순환로 2045, 1층 (사당동)",서울특별시 동작구 사당동 1047-32 동진빌딩 ,10,편의점,보건행정과
휴게음식점,2018-06-07,GS25사당까치점,"서울특별시 동작구 사당로16길 65, 동빌딩 (사당동)",서울특별시 동작구 사당동 309-21 동빌딩 ,3.3,편의점,보건행정과
휴게음식점,2018-07-16,세븐일레븐 상도한사랑점,"서울특별시 동작구 상도로41길 39, 대경리치빌 1층 (상도1동)",서울특별시 동작구 상도1동 441-6 대경리치빌 ,3.3,편의점,보건행정과
휴게음식점,2018-07-17,세븐일레븐 상도터널점,"서울특별시 동작구 상도로 265-30, 1층 (상도1동)",서울특별시 동작구 상도1동 691 신도리코 ,6.6,편의점,보건행정과
휴게음식점,2018-07-18,씨유 노들타운점,"서울특별시 동작구 노량진로26길 25, 1층 (본동)",서울특별시 동작구 본동 48-29 ,3.3,편의점,보건행정과
휴게음식점,2018-07-24,이마트24 상도역점,"서울특별시 동작구 상도로 257, 1층 (상도동)",서울특별시 동작구 상도동 34-30 ,3.3,편의점,보건행정과
휴게음식점,2018-09-11,GS25 숭실대점,"서울특별시 동작구 사당로 30, 1층 (상도동)",서울특별시 동작구 상도동 505 ,6.6,편의점,보건행정과
휴게음식점,2018-09-13,GS25 동작정금마을,"서울특별시 동작구 동작대로 189, 1층 102호 (동작동)",서울특별시 동작구 동작동 55-21 ,3.3,편의점,보건행정과
휴게음식점,2018-09-28,씨유 사당주영점,서울특별시 동작구 동작대로29길 127 (사당동),서울특별시 동작구 사당동 105-4 주영교회 ,3.3,편의점,보건행정과
